#ombh2 omch2 w0 ns ln10As H0 Neff
2.223414e-02 1.132384e-01 -8.588491e-01 9.816960e-01 3.161839e+00 6.616172e+01 3.356323e+00
2.276780e-02 1.146482e-01 -9.154562e-01 9.752914e-01 3.116492e+00 6.913329e+01 3.913182e+00
2.221481e-02 1.178261e-01 -1.008585e+00 9.864841e-01 3.147262e+00 6.804840e+01 3.500750e+00
2.213512e-02 1.273274e-01 -1.299219e+00 9.557472e-01 3.103522e+00 7.361785e+01 2.772475e+00
2.222954e-02 1.174718e-01 -1.010309e+00 9.508418e-01 3.053433e+00 6.855237e+01 2.608196e+00
2.120279e-02 1.319043e-01 -1.408790e+00 9.634347e-01 3.155429e+00 7.479127e+01 3.180786e+00
2.158239e-02 1.194135e-01 -1.150891e+00 9.556116e-01 3.091873e+00 7.170428e+01 4.264339e+00
2.325388e-02 1.052923e-01 -6.288559e-01 9.625930e-01 3.113723e+00 6.230589e+01 4.127285e+00
2.194595e-02 1.246836e-01 -1.260537e+00 9.439636e-01 3.033513e+00 7.424126e+01 3.985680e+00
2.223663e-02 1.204826e-01 -8.260213e-01 9.643606e-01 3.056664e+00 6.274481e+01 3.647616e+00
2.094620e-02 1.257821e-01 -1.183928e+00 9.288810e-01 3.055708e+00 7.061512e+01 3.430063e+00
2.158838e-02 1.226653e-01 -1.233227e+00 9.672028e-01 3.164045e+00 7.196497e+01 4.029778e+00
2.242694e-02 1.202833e-01 -1.122615e+00 9.817701e-01 3.067820e+00 7.241087e+01 2.925756e+00
2.128360e-02 1.249894e-01 -1.185456e+00 9.452366e-01 3.026412e+00 6.971152e+01 2.984726e+00
2.185711e-02 1.235184e-01 -1.037694e+00 9.434376e-01 3.103161e+00 6.781464e+01 3.275027e+00
2.333721e-02 1.167815e-01 -8.440772e-01 9.760616e-01 3.023322e+00 6.476723e+01 4.172484e+00
2.205790e-02 1.203129e-01 -1.227423e+00 9.451481e-01 3.128836e+00 7.314321e+01 3.552721e+00
2.265105e-02 1.058642e-01 -7.068681e-01 9.869115e-01 3.084974e+00 6.343741e+01 2.683959e+00
2.318150e-02 1.072331e-01 -8.316345e-01 9.802486e-01 3.031582e+00 6.711513e+01 3.008520e+00
2.286496e-02 1.004117e-01 -5.900335e-01 9.718534e-01 3.005251e+00 6.187636e+01 3.303411e+00
2.281982e-02 1.193322e-01 -8.686289e-01 9.630399e-01 3.157809e+00 6.406190e+01 2.826972e+00
2.226372e-02 1.246521e-01 -1.045950e+00 9.722880e-01 3.115149e+00 6.676222e+01 3.870718e+00
2.288545e-02 1.081254e-01 -7.580646e-01 9.575436e-01 3.062903e+00 6.560590e+01 3.745134e+00
2.316531e-02 1.212980e-01 -1.063677e+00 9.601791e-01 3.166930e+00 7.089911e+01 3.107678e+00
2.127835e-02 1.125142e-01 -8.513505e-01 9.456216e-01 2.999333e+00 6.436874e+01 3.785653e+00
