# ombh2 omch2 w0 ns ln10As H0 Neff sigma8
2.268324999999999855e-02 1.140598000000000029e-01 -8.165972000000000230e-01 9.755890000000000395e-01 3.092918000000000056e+00 6.336569000000000074e+01 2.918750000000000178e+00 7.730715000000000225e-01
2.245070999999999872e-02 1.172576000000000035e-01 -1.134439999999999893e+00 9.765226999999999657e-01 3.149871999999999783e+00 7.309972000000000492e+01 3.173750000000000071e+00 8.954628000000000032e-01
2.299819999999999989e-02 1.087487000000000037e-01 -6.846594999999999764e-01 9.974496000000000473e-01 3.093773000000000106e+00 6.370848000000000155e+01 3.258750000000000036e+00 6.929467000000000265e-01
2.267589999999999884e-02 1.123064000000000007e-01 -7.437378999999999518e-01 9.480811999999999573e-01 3.000900000000000123e+00 6.404188999999999510e+01 3.556249999999999911e+00 6.715524000000000493e-01
2.208455000000000140e-02 1.062517000000000045e-01 -7.666051000000000393e-01 9.650927999999999729e-01 3.118564999999999809e+00 6.504913000000000523e+01 2.663749999999999840e+00 7.490580000000000016e-01
2.066455000000000028e-02 1.295034999999999936e-01 -1.326359000000000066e+00 9.278461999999999543e-01 3.023645000000000138e+00 7.275418000000000518e+01 2.961250000000000160e+00 9.339844000000000479e-01
2.294146000000000032e-02 1.115032999999999996e-01 -7.103080999999999978e-01 9.706424000000000163e-01 3.015966000000000147e+00 6.269872999999999763e+01 2.706249999999999822e+00 7.103631999999999724e-01
2.281365000000000129e-02 1.195969000000000060e-01 -8.666032999999999653e-01 9.662983000000000544e-01 3.162138000000000115e+00 6.437163999999999930e+01 3.938750000000000195e+00 7.778608000000000189e-01
2.067694999999999950e-02 1.238351000000000035e-01 -1.163731000000000071e+00 9.491313000000000111e-01 3.147130000000000205e+00 6.939995999999999299e+01 3.598749999999999893e+00 8.919907999999999726e-01
2.134389999999999898e-02 1.158134999999999998e-01 -8.309330000000000327e-01 9.475234000000000156e-01 3.071769000000000194e+00 6.235636999999999830e+01 3.896250000000000213e+00 7.220269000000000270e-01
2.189334000000000072e-02 1.289505999999999986e-01 -1.241154000000000091e+00 9.610168000000000044e-01 3.050463000000000147e+00 7.208598999999999535e+01 4.236250000000000071e+00 8.497576999999999492e-01
2.262122000000000091e-02 1.089505999999999947e-01 -8.609276999999999624e-01 9.960324000000000400e-01 3.158113999999999866e+00 6.773403999999999314e+01 2.833750000000000213e+00 8.055318000000000200e-01
2.250604999999999967e-02 1.167658000000000029e-01 -8.794716000000000200e-01 9.539511999999999992e-01 3.048008999999999968e+00 6.537986999999999682e+01 2.876250000000000195e+00 7.851297999999999888e-01
2.189554999999999974e-02 1.171762999999999971e-01 -1.119504999999999972e+00 9.788153000000000548e-01 3.067809000000000008e+00 7.108341000000000065e+01 3.003750000000000142e+00 8.660544000000000020e-01
2.264907000000000031e-02 1.271079999999999988e-01 -1.116826000000000096e+00 9.723654000000000464e-01 3.093885000000000218e+00 6.873002999999999929e+01 2.748749999999999805e+00 9.232810999999999657e-01
2.146759999999999988e-02 1.285015999999999936e-01 -1.302907999999999955e+00 9.335674999999999946e-01 3.094304000000000165e+00 7.410000999999999749e+01 3.726249999999999840e+00 9.078273999999999511e-01
2.177406000000000133e-02 1.206761999999999974e-01 -1.131299000000000055e+00 9.662155999999999523e-01 3.014076000000000199e+00 7.007432000000000016e+01 3.768749999999999822e+00 8.069646000000000319e-01
2.228120999999999921e-02 1.194238999999999995e-01 -1.248070000000000013e+00 9.519718999999999820e-01 3.035022000000000109e+00 7.443912000000000262e+01 3.216250000000000053e+00 8.695022000000000029e-01
2.287408999999999970e-02 1.157403000000000043e-01 -1.032176999999999900e+00 9.533103000000000549e-01 3.020204999999999806e+00 7.075163000000000579e+01 4.278749999999999609e+00 7.356344999999999690e-01
2.238259999999999902e-02 1.132626000000000049e-01 -1.091606999999999994e+00 9.672908999999999535e-01 3.095690999999999971e+00 7.242955000000000609e+01 3.683749999999999858e+00 8.083719000000000321e-01
2.225370999999999946e-02 1.224879999999999997e-01 -9.898373999999999784e-01 9.528875999999999458e-01 3.119866000000000028e+00 6.705523999999999774e+01 3.386249999999999982e+00 8.378527999999999532e-01
2.361513000000000154e-02 1.171689999999999954e-01 -8.658316000000000345e-01 9.757852999999999666e-01 3.131584999999999841e+00 6.638899999999999579e+01 3.853749999999999787e+00 7.617591999999999697e-01
2.153845000000000065e-02 1.210090000000000054e-01 -1.031605000000000105e+00 9.585567000000000393e-01 3.072322000000000219e+00 6.806189999999999429e+01 2.621249999999999858e+00 8.804509999999999836e-01
2.272630000000000136e-02 1.012181000000000053e-01 -5.658486000000000349e-01 9.745745999999999576e-01 3.019204000000000221e+00 6.203349999999999653e+01 3.471249999999999947e+00 5.746314999999999618e-01
2.245360999999999885e-02 1.102766000000000024e-01 -7.614560999999999691e-01 9.589180000000000481e-01 3.143937000000000204e+00 6.303208999999999662e+01 4.151250000000000107e+00 6.918467000000000366e-01
2.092905999999999933e-02 1.170569000000000054e-01 -9.478782000000000041e-01 9.344635999999999498e-01 3.036793999999999993e+00 6.571267000000000280e+01 3.088750000000000107e+00 7.900302000000000158e-01
2.236205000000000137e-02 1.191810999999999982e-01 -1.125102999999999964e+00 9.442601000000000466e-01 3.127890999999999977e+00 7.175535999999999603e+01 2.791249999999999787e+00 9.043987999999999472e-01
2.135801000000000019e-02 1.134254999999999985e-01 -9.645882999999999541e-01 9.663880999999999721e-01 3.014712999999999976e+00 6.739297000000000537e+01 4.023749999999999716e+00 7.285257000000000538e-01
2.174718000000000137e-02 1.317767999999999995e-01 -1.399920999999999971e+00 9.585702000000000389e-01 3.146558999999999884e+00 7.476752000000000464e+01 3.811249999999999805e+00 9.644551000000000096e-01
2.232479999999999881e-02 1.289151000000000047e-01 -1.236070999999999920e+00 9.401456000000000257e-01 3.159050999999999831e+00 7.141356000000000392e+01 3.428749999999999964e+00 9.344430999999999710e-01
2.192792000000000005e-02 1.239137000000000016e-01 -1.223681000000000019e+00 9.552357999999999683e-01 3.118282000000000220e+00 7.343152000000000612e+01 4.066250000000000142e+00 8.682104999999999961e-01
2.123964000000000060e-02 1.275786999999999893e-01 -1.381645000000000012e+00 9.560724999999999918e-01 3.076413000000000064e+00 7.375996999999999559e+01 3.343750000000000000e+00 9.417921000000000209e-01
2.249688000000000035e-02 1.128450000000000009e-01 -9.257577999999999641e-01 9.494842000000000004e-01 3.042809999999999793e+00 6.840341999999999700e+01 3.981250000000000178e+00 7.208263999999999783e-01
2.337318999999999855e-02 1.149702999999999975e-01 -8.752206999999999626e-01 9.891731000000000273e-01 3.149163000000000157e+00 6.605231000000000563e+01 3.641249999999999876e+00 7.771574999999999456e-01
2.275572999999999832e-02 1.222292999999999991e-01 -1.032289999999999930e+00 9.500281000000000420e-01 3.106939999999999813e+00 6.907038000000000011e+01 3.131250000000000089e+00 8.576371999999999884e-01
2.341077000000000088e-02 1.076406000000000029e-01 -6.128196999999999672e-01 9.955675999999999970e-01 3.140289000000000108e+00 6.169471999999999667e+01 3.046250000000000124e+00 6.845284999999999842e-01
2.199894000000000155e-02 1.212966999999999934e-01 -1.108222000000000040e+00 9.673610000000000264e-01 3.179424000000000028e+00 7.041128999999999394e+01 3.301250000000000018e+00 9.050605999999999929e-01
2.287447000000000091e-02 1.097439999999999943e-01 -8.487455000000000416e-01 9.776226999999999556e-01 3.072287000000000212e+00 6.672620000000000573e+01 3.513749999999999929e+00 7.255154999999999799e-01
2.371238999999999986e-02 1.149746999999999991e-01 -9.550075000000000092e-01 9.765907000000000338e-01 3.053507999999999889e+00 6.974679999999999325e+01 4.108749999999999680e+00 7.368772999999999573e-01
2.174072000000000157e-02 1.200699999999999962e-01 -9.410528999999999700e-01 9.602072000000000385e-01 3.092703999999999898e+00 6.470430000000000348e+01 4.193749999999999645e+00 7.613921000000000161e-01
